8737 "02.01.2018 17:00";"1.2";"733.0";"757.3";"0.9";"94";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"0.3";"";"";"";"";"";"";
8736 "02.01.2018 18:00";"0.9";"733.3";"757.5";"1.0";"95";"Wind blowing from the south-east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"0.2";"";"";"";"";"";"";
8735 "02.01.2018 19:00";"0.6";"733.4";"757.7";"0.7";"96";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.4";"4.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"3.5";"0.0";"No precipitation";"12";"";"";"";"";
8734 "02.01.2018 20:00";"0.6";"733.6";"757.9";"0.6";"96";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.5";"0.0";"";"";"";"";"";"";
8733 "02.01.2018 21:00";"0.7";"733.8";"758.1";"0.5";"97";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"2.5";"0.3";"";"";"";"";"";"";
8732 "02.01.2018 22:00";"2.9";"733.9";"757.9";"0.5";"97";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"2.5";"";"";"";"";"";"";
8731 "02.01.2018 23:00";"3.2";"734.0";"758.1";"0.4";"90";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"23.0";"1.7";"";"";"";"";"";"";
8730 "03.01.2018 00:00";"2.8";"734.1";"758.2";"0.3";"87";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"50.0";"0.8";"";"";"";"";"";"";
8729 "03.01.2018 01:00";"2.5";"734.2";"758.3";"0.3";"91";"Wind blowing from the west";"3";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"7.0";"1.2";"Trace of precipitation";"6";"";"";"";"";
8728 "03.01.2018 02:00";"2.6";"734.3";"758.5";"0.3";"95";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"8.0";"1.9";"";"";"";"";"";"";
8727 "03.01.2018 03:00";"3.0";"733.9";"758.0";"-0.2";"93";"Wind blowing from the west";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"8.0";"2.0";"";"";"";"";"";"";
8726 "03.01.2018 04:00";"2.8";"733.6";"757.6";"-0.6";"92";"Wind blowing from the west-southwest";"3";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"9.0";"1.6";"";"";"";"";"";"";
